code,name,price,discount,image,discount_image,heart_count,star_rating,date_retrieved
DAVICHLENS,3DAY 러블리믹스 클리어 (30P),"27,000원",40%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231214_38be9c98e348a97c9184e6b672c689014aa9c88d454b688970cd7d2fa7dbfd1a_700x875x02,NA,221,0,2024-06-05
DAVICHLENS,1MONTH 디어비 난시 브라운 (2P),"25,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2302281517_9826.jpg,NA,199,0,2024-06-05
DAVICHLENS,3DAY 돌체링 그레이 (20P),"20,000원",47%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240318_007baed91e74d8a2d42df537fbc5704328e487af9098e37f79a3d435b50ac6d8_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_best.png,303,0,2024-06-05
DAVICHLENS,1MONTH 핫세 그란데 초코 (2P),"20,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230801_0e6f7b79086a1e0c01ea3f1f3a6eea6b0ae669741d1ffe6455e8065efcb72633_700x875x02,NA,403,0,2024-06-05
DAVICHLENS,3DAY 셀레네 블랙 (20P),"20,000원",47%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231010_3317f47c37b0599350839e0997c9fa4e7d81619a7157da24ce94e21531206f04_700x875x02,NA,268,0,2024-06-05
DAVICHLENS,1DAY 퓨어링 초코 (30P),"29,000원",41%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231129_0044e563db406b19d8e84c4c51774351135db043471706c39565dc99c53d9b3c_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,223,0,2024-06-05
아큐브,아큐브 1DAY - 모이스트 멀티포컬 (30P),"35,000원",45%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010121005_8352.jpg,NA,78,0,2024-06-05
DAVICHLENS,1MONTH 베일링 베이지 (2P),"20,000원",33%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2306091511_10165_1.jpg,NA,272,0,2024-06-05
라이트 컬렉션,1MONTH -라이트 위닝 그레이 (1P),"5,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231214_6b4e8ebd9319428dba50e6abffd70dde6b0fe0121ad1a2643ac759f35652d637_700x875x02,NA,883,0,2024-06-05
DAVICHLENS,3DAY 뉴스타리 데이 브라운 (20P),"28,000원",26%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2305221444_10113_1.jpg,NA,188,0,2024-06-05
아큐브,아큐브 2WEEKS - 오아시스 근시 (6P),"23,000원",50%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240223_c41d1f172c8e9c7339b61761563d2872e7c99855cbd69d72da8067513f4aab06_700x875x02,NA,180,0,2024-06-05
바슈롬,바슈롬 1DAY - 울트라 (30P),"32,000원",42%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_d21ee271966c726fbeae1f62dd6061ebdf8384a5cbc3d178c1caf1f81e4e819e_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,107,5,2024-06-05
아큐브,아큐브 1DAY - 모이스트 난시 (30P),"31,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010121030_8354.jpg,NA,101,0,2024-06-05
