code,name,price,discount,image,discount_image,heart_count,star_rating,date_retrieved
쿠퍼비전,쿠퍼비젼 1DAY - 클래리티 난시 (30P),"24,000원",47%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_377d4044fd9a118743f11a0c7a5c9c688830b71b454aa68d0266d1f7b5b30a59_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,"2,397",4.5,2024-10-07
쿠퍼비전,쿠퍼비젼 1DAY - 클래리티 원데이 근시 (30P),"21,000원",48%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_3dec8d1e0963146ef976a7da6f501bb8a1354232cb9b8ec44b8cc8829ba57df2_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,"1,871",0,2024-10-07
쿠퍼비전,쿠퍼비젼 1DAY - 클래리티 근시 대용량 (90P),"49,000원",49%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G1903111713_4489.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,"1,919",5,2024-10-07
라이트 컬렉션,1MONTH - 라이트 셀레네 블랙 (1P),"5,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240623_3e91af2b67d7ee451d4b9718d6805b663fffc0278cb72c6badbd110cf763ceae_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,"2,838",0,2024-10-07
라이트 컬렉션,1MONTH - 라이트 팬시 그레이 (1P),"5,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240618_40823b778ca5bf9b34c1382e38d151f54dda239e0983cc7a211272f100d58f39_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,"3,809",3,2024-10-07
라이트 컬렉션,1MONTH - 라이트 셀레네 브라운 (1P),"5,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240618_eaacb233f5129daf762deb6548548ec77698c4877a8a3154f155a693e3c4e13e_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,"2,527",0,2024-10-07
알콘,알콘 1DAY - 토탈원 워터렌즈 근시 (30P),"36,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2005290927_7743.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,924,5,2024-10-07
라이트 컬렉션,1MONTH - 라이트 팬시 애쉬핑크 (1P),"5,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240624_b7ea2ad5add77931ea32c17ae31cf737a00e440d1313e9199f744edba299f8ac_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,"4,202",5,2024-10-07
바슈롬,바슈롬 1DAY - 바이오트루 난시 (30P),"30,000원",40%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_aa2ef4345648b05507e0c151ed16f99073a2679f24d414630694f36af6fce111_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,904,5,2024-10-07
아큐브,아큐브 1DAY - 오아시스 근시 (30P),"36,000원",45%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010061434_8316.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,654,0,2024-10-07
