code,name,price,discount,image,discount_image,heart_count,star_rating,date_retrieved
쿠퍼비전,쿠퍼비젼 1DAY - 클래리티 난시 (30P),"24,000원",47%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_377d4044fd9a118743f11a0c7a5c9c688830b71b454aa68d0266d1f7b5b30a59_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,"2,465",4.5,2024-12-09
쿠퍼비전,쿠퍼비젼 1DAY - 클래리티 원데이 근시 (30P),"21,000원",48%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_3dec8d1e0963146ef976a7da6f501bb8a1354232cb9b8ec44b8cc8829ba57df2_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,"1,961",0,2024-12-09
쿠퍼비전,쿠퍼비젼 1DAY - 클래리티 근시 대용량 (90P),"49,000원",49%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G1903111713_4489.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,"2,000",5,2024-12-09
알콘,알콘 1DAY - 토탈원 워터렌즈 근시 (30P),"36,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2005290927_7743.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,960,5,2024-12-09
DAVICHLENS,1MONTH 퓨어링 난시 초코 (2P),"25,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240623_9ad1854e26e167f0519aeae55a07af60a4532bfbeab5c683eb2e39a8e38160de_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,957,0,2024-12-09
바슈롬,바슈롬 1DAY - 바이오트루 난시 (30P),"30,000원",40%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_aa2ef4345648b05507e0c151ed16f99073a2679f24d414630694f36af6fce111_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,937,5,2024-12-09
아큐브,아큐브 1DAY - 오아시스 근시 (30P),"36,000원",45%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010061434_8316.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,702,0,2024-12-09
아큐브,아큐브 1DAY - 오아시스 난시 (30P),"41,000원",47%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240223_549ce92ee2dcbecb11481b42aaf64401a685d7b00a4d37d3a460d00ceca5422a_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,739,0,2024-12-09
DAVICHLENS,3DAY 아쿠아 클리어 (30P),"32,000원",40%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231031_e2ee7a0794a36504d0ee2227f049c0876cba096fec87c5bf7f0c8512124639e9_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,"1,083",4.3,2024-12-09
라이트 컬렉션,"라이트 컬렉션 3쌍(6팩) 9,900원","5,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20241202_17609f5cb239c5f300e9761e0cdb269a710361daef9b8dee82b4616c9dc44778_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_hot.png,249,0,2024-12-09
DAVICHLENS,1DAY 그레이스 브라운 (30P),"49,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240322_6031e8299a7c02072b63c26ae116cb83386c64b9c013d1cac8683fb3a2901b4a_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,632,5,2024-12-09
쿠퍼비전,쿠퍼비젼 1DAY - 마이데이 난시 (30P),"33,500원",48%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240105_209765a8a7ff097bb233680063cf9cceba3314fc386a8043b18ec0cd62d4f824_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,476,4,2024-12-09
DAVICHLENS,1MONTH 헤이미쉬 올리브 & 블랙 (2P),"15,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2301170906_9733.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20230629_1687988354262.png,"1,028",5,2024-12-09
아큐브,아큐브 1DAY - 오아시스 근시 대용량 (90P),"95,000원",45%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240223_54984a3abfd100ef7f2bdc20c3842501a106c13fd4b7ce3d9a25f77f5e126001_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,534,0,2024-12-09
DAVICHLENS,쿠퍼비전 1MONTH - 바이오피니티 근시/원시 (6P),"32,000원",52%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2205271519_8961.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,755,0,2024-12-09
DAVICHLENS,1DAY 그레이스 그레이 (30P),"49,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240322_283606e2a16aebcd18056abf7d7d8dfd5a40d99d026ed695dc0435f8b684807b_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,645,0,2024-12-09
DAVICHLENS,1MONTH 퓨어링 브라운 & 초코 (2P),"15,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240623_a89161200d88ec29926b9c92315dfd2d9a9438d169483dcf098a3602927b5703_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,"1,085",5,2024-12-09
DAVICHLENS,1DAY 아쿠아루틴 (30P),"49,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230915_f9972646b79f8554e17867989d24b60243502da2caec97a382981f9516ae673b_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,543,3,2024-12-09
아큐브,아큐브 1DAY - 오아시스 난시 대용량 (90P),"105,000원",46%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240223_e76306faa096fbcedfae59050a9c4f0afe7f701d1cb997e48ad0e66e24c376d8_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,475,0,2024-12-09
DAVICHLENS,3DAY 밸런시 클리어 (10P),"15,000원",40%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2112281738_8868.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,726,5,2024-12-09
DAVICHLENS,3DAY 메르시 초코 (10P),"20,000원",20%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2205171727_8940.jpg,NA,479,5,2024-12-09
알콘,알콘 1DAY - 토탈원 워터렌즈 난시 (30P),"45,000원",35%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2212191142_9698.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,294,0,2024-12-09
DAVICHLENS,쿠퍼비젼 1MONTH - 바이오피니티 에너지스 (6P),"66,000원",20%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_05b38d7ce212df0f70bdd4c7c0da15cfc23a618ead26bef6b97d6fac10ca589e_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_only.png,457,5,2024-12-09
DAVICHLENS,1MONTH 아쿠아 투명렌즈 근시 (2P),"15,000원",25%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2303241630_9861.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20230629_1687988354262.png,649,0,2024-12-09
쿠퍼비전,쿠퍼비전 1MONTH - 바이오피니티 난시 (6P),"40,000원",66%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2205271342_8957.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,686,0,2024-12-09
바슈롬,바슈롬 1DAY - 바이오트루 근시 (30P),"25,000원",42%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2101271515_8573.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,347,0,2024-12-09
DAVICHLENS,1MONTH 아쿠아 투명렌즈 난시 (2P),"20,000원",33%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2303241747_9862.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20230629_1687988354262.png,537,0,2024-12-09
DAVICHLENS,1MONTH 디어비 브라운 & 그레이 (2P),"15,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240623_753a733455b449ad8ecc89be069d4ad337474363c9bf05e60e0684566e91a808_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,634,5,2024-12-09
아큐브,아큐브 1DAY - 모이스트 근시 (30P),"22,000원",41%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2206291901_9079.jpg,NA,267,0,2024-12-09
DAVICHLENS,3DAY 클라우드 투명 (20P),"20,000원",33%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231212_11fae5d4e777ea281c6beaad6d6f2273a6f3cdebbd7de55d3c3bfa9d7a076f97_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,727,5,2024-12-09
DAVICHLENS,1MONTH 베일링 카키 (2P),"20,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2306091635_10167_1.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,682,0,2024-12-09
아큐브,아큐브 1MONTH - 비타 난시 (6P),"113,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240223_2dee880b0c28110ee41fddba05439c8c75aa046a85927b21f9e0f10ddfbce197_700x875x02,NA,412,5,2024-12-09
알콘,알콘 1DAY - 토탈원 워터렌즈 멀티포컬 (30P),"51,000원",32%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240223_a9511a166a1ef4f0584e028b98b6120435296d278b25b1ba8dbd09f02dd35349_700x875x02,NA,138,0,2024-12-09
DAVICHLENS,1MONTH 퓨어링 난시 브라운 (2P),"25,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240623_fa77aa0dcffdb027db2e7c5720b4d12dbce4af665aebf809091ca7f6ce6ecd1d_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,412,0,2024-12-09
DAVICHLENS,3DAY 셀레네 블랙 (20P),"28,000원",26%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240623_57b1e8cc637dcf01b5816d9f9b038b0e488ef158e7ed4f3a4e3551ff290b8415_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,574,0,2024-12-09
DAVICHLENS,1DAY 그레이스 카키 (30P),"49,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240322_81adb86326937605e8c9516488e36a6c30a1d00f47136e970c8ba2f694acfd1c_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,325,5,2024-12-09
DAVICHLENS,3DAY 메르시 브라운 (10P),"20,000원",20%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2205171715_8939.jpg,NA,272,5,2024-12-09
아큐브,아큐브 1MONTH - 비타 근시 (6P),"64,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240223_9a33212d5065fca64e7bd99c1b5bcedb76203698c4c74f894cfbb9c652fe9695_700x875x02,NA,375,0,2024-12-09
DAVICHLENS,3DAY 스카치 그레이 (10P),"20,000원",20%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2205171737_8942.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_hot.png,262,4.3,2024-12-09
DAVICHLENS,7DAY 하트밤 초코 (10P),"15,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010081803_8339.jpg,NA,387,5,2024-12-09
DAVICHLENS,3DAY 뉴리시 그레이 (10P),"18,000원",28%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2112281739_8869.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,307,5,2024-12-09
DAVICHLENS,3DAY 돌체링 브라운 (20P) ,"28,000원",26%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240318_5c7fa3750ffd1352a24baada7071a267899d6272e2306b52caaeef5b0f00ddc5_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,511,5,2024-12-09
DAVICHLENS,1MONTH 디어비 난시 브라운 (2P),"25,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2302281517_9826.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,304,0,2024-12-09
DAVICHLENS,3DAY 스카치 브라운 (10P),"20,000원",20%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2205171731_8941.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_hot.png,225,5,2024-12-09
DAVICHLENS,1DAY 퓨어링 초코 (30P),"49,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240623_5bb92799472f1ef2ffcad01d200b9a36e117b7ed98475b7c461c12177a455f0d_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,450,0,2024-12-09
DAVICHLENS,1MONTH 메리링 브라운 & 그레이 (2P) ,"15,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2210142152_9483.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,268,0,2024-12-09
쿠퍼비전,쿠퍼비젼 1DAY - 클래리티 멀티포컬 (30P),"50,000원",17%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_f05f132c78fc1fa1454c994d8ad8cb1b68504a6f4dbdc5fda4f386586c14e133_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_only.png,110,5,2024-12-09
DAVICHLENS,3DAY 뉴미라클 초코 (20P),"28,000원",26%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240311_c5e781fb9f3a043a95acfc5a9d4f942bf0bb1d5a39723caaa87eba6b3ff24595_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,341,5,2024-12-09
DAVICHLENS,1MONTH 핫세 초코 (2P),"20,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230801_ba4098f099bca009000018459e330a82860c9a0826d1519323738cf183f2a697_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,367,0,2024-12-09
DAVICHLENS,3DAY 돌체링 그레이 (20P),"28,000원",26%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240318_007baed91e74d8a2d42df537fbc5704328e487af9098e37f79a3d435b50ac6d8_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,477,0,2024-12-09
DAVICHLENS,3DAY 뉴리시 브라운 (10P),"18,000원",28%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2210311857_9519.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,104,0,2024-12-09
DAVICHLENS,1MONTH 핫세 그란데 초코 (2P),"20,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230801_0e6f7b79086a1e0c01ea3f1f3a6eea6b0ae669741d1ffe6455e8065efcb72633_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,594,0,2024-12-09
DAVICHLENS,3DAY 팔레트 그레이 (20p),"26,000원",32%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G1909301504_6971.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,333,5,2024-12-09
아큐브,아큐브 1DAY - 모이스트 멀티포컬 (30P),"35,000원",45%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010121005_8352.jpg,NA,115,0,2024-12-09
DAVICHLENS,3DAY 뉴스타리 데이 브라운 (20P),"28,000원",26%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2305221444_10113_1.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20240628_1719536995910.png,315,0,2024-12-09
알콘,알콘 1DAY - 토탈원 워터렌즈 근시 (90P),"90,000원",47%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20241118_b0e936b3d8732e683061cebd463364217151b249dfbabae4b1404c7111393b4d_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,183,0,2024-12-09
아큐브,아큐브 2WEEKS - 오아시스 근시 (6P),"23,000원",50%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240223_c41d1f172c8e9c7339b61761563d2872e7c99855cbd69d72da8067513f4aab06_700x875x02,NA,326,0,2024-12-09
