code,name,price,discount,image,discount_image,heart_count,star_rating,date_retrieved
DAVICHLENS,1MONTH 퓨어링 그레이 (2P),"15,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231222_3021475f8014e6f48255e08e039afdf88d1e5bb1f825caf6f750b632628946c8_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_new.png,118,0,2024-05-13
바슈롬,바슈롬 1DAY - 레이셀 미스틱 그레이 (30P),"28,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2101121554_8550.jpg,NA,37,0,2024-05-13
바슈롬,바슈롬 1DAY - 레이셀 멜로우 브라운 (30P),"28,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2101121551_8549.jpg,NA,37,0,2024-05-13
DAVICHLENS,1DAY 디어비 브라운 (30P),"49,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231031_b14653e2a6e2411fb51b2654b2c44f031cf73b1cede4a06f46a115122ef5093e_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20230629_1687988354262.png,83,0,2024-05-13
바슈롬,바슈롬 1DAY - 레이셀 디어 브라운 (30P),"28,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2101121544_8547.jpg,NA,36,0,2024-05-13
바슈롬,바슈롬 1DAY - 레이셀 애쉬 바이올렛 (30P),"28,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2101121603_8553.jpg,NA,35,0,2024-05-13
바슈롬,바슈롬 1DAY - 레이셀 쉬머링 골드 (30P),"28,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2101121558_8551.jpg,NA,22,0,2024-05-13
바슈롬,바슈롬 1DAY - 레이셀 글리터링 그레이 (30P),"28,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2101121542_8546.jpg,NA,18,0,2024-05-13
바슈롬,바슈롬 1DAY - 레이셀 골든 올리브 (30P),"28,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2101121535_8545.jpg,NA,13,0,2024-05-13
바슈롬,바슈롬 1DAY - 레이셀 파우더 블루 (30P),"28,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2101121617_8556.jpg,NA,10,0,2024-05-13
바슈롬,바슈롬 1DAY - 레이셀 마르살라 핑크 (30P),"28,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2101121548_8548.jpg,NA,23,0,2024-05-13
네온,하드렌즈 - 네온 PRIME (1P),"275,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010211024_8396.jpg,NA,2,0,2024-05-13
네온,하드렌즈 - 네온 BLUE (1P),"115,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010210912_8392.jpg,NA,3,0,2024-05-13
바슈롬,바슈롬 - 리뉴 후레쉬 355ml 번들팩,"6,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_b3301b31926c89ae831828c26b19c4219a4798a83a6d37a60f28432f5afca00f_700x875x02,NA,22,0,2024-05-13
네온,하드렌즈 - 네온 CLASSIC (1P),"220,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010211007_8395.jpg,NA,2,0,2024-05-13
네온,하드렌즈 - 네온 TEAR (1P),"145,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010210959_8393.jpg,NA,1,0,2024-05-13
네온,하드렌즈 - 네온 GREEN (1P),"185,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010211003_8394.jpg,NA,1,0,2024-05-13
NA,방패 렌즈 케이스,"2,500원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2303191923_9850.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_hot.png,3,0,2024-05-13
마이 컬렉션,1M - 퓨어링 그레이 (2P),"15,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240513_33ef725af31567eb26b337a1f21e658f9a75d6489eff4f58c86cc7faf8d0835d_700x875x02,NA,0,0,2024-05-13
